State,Year,Month,Deaths,Cases
PA,2021,12,1087253,58005964
PA,2022,1,1197204,74664825
PA,2022,2,1183570,76273933
PA,2022,3,1360927,85905209
PA,2022,4,1334606,83920504
PA,2022,5,1391214,88707770
PA,2022,6,1364416,88902551
PA,2022,7,1424369,94235897
PA,2022,8,1439119,97172028
PA,2022,9,1408228,96515903
PA,2022,10,1471388,101700224
PA,2022,11,1441709,100031599
PA,2022,12,1507799,104994717
RI,2021,1,59274,2952576
RI,2021,2,63138,3194256
RI,2021,3,78926,3880374
RI,2021,4,79376,4291952
RI,2021,5,83596,4663736
RI,2021,6,81673,4568395
RI,2021,7,84773,4747346
RI,2021,8,85267,4910322
RI,2021,9,84113,5028309
RI,2021,10,88690,5463068
RI,2021,11,86918,5539045
RI,2021,12,92683,6472198
RI,2022,1,98909,9311139
RI,2022,2,94625,9727132
RI,2022,3,106552,10565753
RI,2022,4,105873,10436036
RI,2022,5,110250,11288763
RI,2022,6,107833,11367807
RI,2022,7,112243,11993881
RI,2022,8,112689,12210676
RI,2022,9,109713,12025291
RI,2022,10,114042,12651746
RI,2022,11,111554,12421666
RI,2022,12,116602,13016682
SC,2021,1,189869,11769420
SC,2021,2,223282,13575086
SC,2021,3,275836,16594809
SC,2021,4,279610,16989381
SC,2021,5,298656,18211291
SC,2021,6,293479,17854108
SC,2021,7,305714,18708575
SC,2021,8,314679,20733368
SC,2021,9,344667,24160417
SC,2021,10,408943,27353270
SC,2021,11,420290,27262315
SC,2021,12,447498,29028486
SC,2022,1,463511,36350298
SC,2022,2,455346,40189739
SC,2022,3,537043,45425580
SC,2022,4,530608,44119797
SC,2022,5,553526,45879691
SC,2022,6,536070,44449380
SC,2022,7,553939,45931026
SC,2022,8,553939,45931026
SC,2022,9,536070,44449380
SC,2022,10,553939,45931026
SC,2022,11,536070,44449380
SC,2022,12,553939,45931026
SD,2021,1,50593,3244166
SD,2021,2,51360,3089125
SD,2021,3,59303,3565210
SD,2021,4,58550,3614115
SD,2021,5,61720,3831517
SD,2021,6,60776,3731231
SD,2021,7,63240,3868672
SD,2021,8,63641,3942800
SD,2021,9,62688,4131952
SD,2021,10,67663,4626802
SD,2021,11,68549,4797077
SD,2021,12,74636,5334056
SD,2022,1,78932,6216427
SD,2022,2,76230,6498858
SD,2022,3,88406,7334139
SD,2022,4,86907,7121850
SD,2022,5,90482,7402874
SD,2022,6,87937,7259796
SD,2022,7,91294,7666414
SD,2022,8,92198,7870238
SD,2022,9,90252,7781219
SD,2022,10,94306,8150204
SD,2022,11,92447,7991071
SD,2022,12,96410,8383499
TN,2021,1,254134,20852168
TN,2021,2,301352,21234739
TN,2021,3,361402,24589318
TN,2021,4,361595,24886605
TN,2021,5,382088,26562334
TN,2021,6,375311,25962059
TN,2021,7,391683,27148102
TN,2021,8,404097,29731430
TN,2021,9,427396,34622712
TN,2021,10,490703,39069931
TN,2021,11,501744,38945425
TN,2021,12,575542,41889798
TN,2022,1,662649,48968649
TN,2022,2,648531,54082695
TN,2022,3,770013,62328072
TN,2022,4,776885,60724794
TN,2022,5,815578,63410221
TN,2022,6,797156,62790559
TN,2022,7,832642,67127278
TN,2022,8,845001,69829902
TN,2022,9,828691,69706993
TN,2022,10,867282,72810776
TN,2022,11,843069,70894434
TN,2022,12,871503,73296369
TX,2021,1,1128957,64340630
TX,2021,2,1236675,71184847
TX,2021,3,1480543,84423908
TX,2021,4,1480103,85013563
TX,2021,5,1564313,90476817
TX,2021,6,1537107,89056497
TX,2021,7,1611167,94013625
TX,2021,8,1719367,103809338
TX,2021,9,1904888,115583717
TX,2021,10,2120540,128680099
TX,2021,11,2153389,128155856
TX,2021,12,2287433,136724574
TX,2022,1,2369754,169333116
TX,2022,2,2285269,180570312
TX,2022,3,2644427,204928542
TX,2022,4,2591384,201154258
TX,2022,5,2688818,210583502
TX,2022,6,2609502,209037646
TX,2022,7,2708929,225383808
TX,2022,8,2733055,235551954
TX,2022,9,2667688,234466853
TX,2022,10,2771435,244829980
TX,2022,11,2691341,238572957
TX,2022,12,2784854,247647034
UT,2021,1,45824,9845979
UT,2021,2,50363,10098857
UT,2021,3,63120,11747955
UT,2021,4,64937,11754477
UT,2021,5,69996,12470860
UT,2021,6,69836,12309289
UT,2021,7,74717,13106739
UT,2021,8,78893,13874810
UT,2021,9,83164,14611047
UT,2021,10,95057,16424825
UT,2021,11,101373,17268418
UT,2021,12,114107,19102568
UT,2022,1,122933,23683685
UT,2022,2,120171,25515045
UT,2022,3,141575,28704339
UT,2022,4,141967,27884071
UT,2022,5,147652,29146863
UT,2022,6,143979,28954224
UT,2022,7,150804,30874915
UT,2022,8,153223,31633247
UT,2022,9,149916,31008105
UT,2022,10,156107,32286570
UT,2022,11,152355,31541659
UT,2022,12,159572,33087574
VA,2021,1,176912,13356640
VA,2021,2,201125,15311542
VA,2021,3,308189,18542853
VA,2021,4,316094,19241322
VA,2021,5,340977,20752253
VA,2021,6,339441,20342044
VA,2021,7,355646,21250074
VA,2021,8,360671,22492989
VA,2021,9,366451,24559903
VA,2021,10,414826,27930814
VA,2021,11,431288,28428334
VA,2021,12,467157,31589889
VA,2022,1,490535,42032477
VA,2022,2,492890,44940019
VA,2022,3,596436,51262161
VA,2022,4,599330,50499353
VA,2022,5,629864,54010224
VA,2022,6,613994,54892053
VA,2022,7,644532,59321413
VA,2022,8,656877,62050755
VA,2022,9,649554,62014776
VA,2022,10,683217,65231518
VA,2022,11,668343,64045535
VA,2022,12,699866,67443271
VT,2021,1,4979,303807
VT,2021,2,5338,383805
VT,2021,3,6682,531694
VT,2021,4,7121,645633
VT,2021,5,7815,736970
VT,2021,6,7677,729955
VT,2021,7,8012,761831
VT,2021,8,8257,817579
VT,2021,9,8821,927109
VT,2021,10,10615,1146361
VT,2021,11,11829,1351942
VT,2021,12,13672,1765554
VT,2022,1,15557,2709248
VT,2022,2,16073,3068580
VT,2022,3,18932,3555020
VT,2022,4,18755,3601909
VT,2022,5,20198,3994340
VT,2022,6,20307,4024858
VT,2022,7,21342,4239679
VT,2022,8,21714,4310194
VT,2022,9,21454,4238346
VT,2022,10,22653,4455297
VT,2022,11,22890,4380378
VT,2022,12,24276,4575777
WA,2021,1,119047,8753944
WA,2021,2,130937,9187703
WA,2021,3,159232,10904743
WA,2021,4,161131,11499798
WA,2021,5,174817,13071050
WA,2021,6,175179,13351611
WA,2021,7,186915,14281065
WA,2021,8,195192,15985391
WA,2021,9,213269,18374966
WA,2021,10,254734,21528023
WA,2021,11,269631,22600741
WA,2021,12,298435,24883274
WA,2022,1,317410,33207538
WA,2022,2,318589,39127958
WA,2022,3,379453,44680473
WA,2022,4,378179,44248949
WA,2022,5,397067,47645357
WA,2022,6,392547,48652571
WA,2022,7,416318,52685301
WA,2022,8,429490,54673478
WA,2022,9,425430,53981818
WA,2022,10,448162,56658569
WA,2022,11,439804,55367325
WA,2022,12,461176,58000023
WI,2021,1,214643,17417196
WI,2021,2,213266,16942972
WI,2021,3,243567,19382713
WI,2021,4,240105,19451070
WI,2021,5,253072,20727133
WI,2021,6,247672,20279326
WI,2021,7,257157,21106853
WI,2021,8,260006,22020195
WI,2021,9,260638,23070737
WI,2021,10,284845,26425212
WI,2021,11,292634,27987940
WI,2021,12,329349,32500328
WI,2022,1,364888,41382716
WI,2022,2,362974,43541357
WI,2022,3,431471,48956975
WI,2022,4,431322,47887371
WI,2022,5,450402,50986587
WI,2022,6,442141,51104885
WI,2022,7,462070,54331819
WI,2022,8,465368,56073988
WI,2022,9,455764,55518277
WI,2022,10,476914,58360831
WI,2022,11,466870,57384312
WI,2022,12,487655,60290549
WV,2021,1,53232,3229188
WV,2021,2,61194,3563085
WV,2021,3,77504,4224832
WV,2021,4,82372,4432760
WV,2021,5,85251,4900732
WV,2021,6,85505,4893264
WV,2021,7,90480,5118861
WV,2021,8,92906,5435667
WV,2021,9,99678,6438732
WV,2021,10,126519,7992616
WV,2021,11,139872,8514614
WV,2021,12,159253,9647129
WV,2022,1,171591,11951428
WV,2022,2,169624,13278619
WV,2022,3,204509,15352655
WV,2022,4,204069,14974311
WV,2022,5,213995,15730625
WV,2022,6,210426,15731795
WV,2022,7,220227,16857167
WV,2022,8,223841,17666665
WV,2022,9,220472,17797784
WV,2022,10,231603,18736884
WV,2022,11,226891,18344793
WV,2022,12,236956,19166987
WY,2021,1,16261,1509289
WY,2021,2,18144,1491556
WY,2021,3,21434,1716705
WY,2021,4,21089,1716115
WY,2021,5,22097,1835027
WY,2021,6,21921,1839241
WY,2021,7,23544,1970067
WY,2021,8,24971,2145614
WY,2021,9,26671,2483812
WY,2021,10,33892,3014173
WY,2021,11,39166,3234550
WY,2021,12,46172,3512872
WY,2022,1,49280,4004848
WY,2022,2,47068,4263710
WY,2022,3,54565,4815263
WY,2022,4,54052,4689884
WY,2022,5,56316,4870783
WY,2022,6,54753,4838179
WY,2022,7,57181,5189797
WY,2022,8,57902,5360153
WY,2022,9,56622,5272096
WY,2022,10,59001,5509116
WY,2022,11,57678,5391322
WY,2022,12,60358,5638646
